Date,price,Volume,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,FFT 3,FFT 6,FFT 9,ARIMA
2019-05-03,2945.639893,3338120000,2934.542829285722,2912.3266485714275,2898.6359487748778,2924.597201009257,25.961252234379117,20.77223241150387,2953.8711133944353,2870.78218374842,2937.7088836645876,2944.639893,2892.1318,2868.0767,2897.4573,2919.308988636758
2019-05-06,2932.469971,3181520000,2935.4428362857216,2914.8542713333322,2901.142172643405,2925.8083963924482,24.666223749043183,20.533108252209384,2955.920487837751,2873.7880548289136,2934.2162752215295,2931.469971,2893.86,2869.8213,2897.4875,2945.109825803849
2019-05-07,2884.050049,3767100000,2927.4671457142936,2914.4404646190465,2899.87608941056,2919.3840352551483,19.50794584458845,21.292825092070863,2957.026114803188,2871.8548144349047,2900.7721244071763,2883.050049,2895.5479,2871.5715,2897.421,2933.2232428861194
2019-05-08,2879.419922,3485790000,2918.3799875714362,2913.661888523808,2898.3608177505184,2913.2357101389716,14.87489238845319,21.182185947814236,2956.0262604194368,2871.2975166281794,2886.5373228023923,2878.419922,2897.1943,2873.3303,2897.2617,2889.72080109315
2019-05-09,2870.719971,3638820000,2907.649972285722,2913.3056989999986,2896.3133476208504,2906.6948271945143,10.38147957366391,22.673832124197492,2958.653363248394,2867.9580347516035,2875.992421600797,2869.719971,2898.7979,2875.1003,2897.0142,2881.487747138252
2019-05-10,2881.399902,3529600000,2901.602818285722,2912.981410476189,2895.208647945232,2902.8033002415123,7.594652296280401,23.143284758535394,2959.26797999326,2866.694840959118,2879.597408533599,2880.399902,2900.3574,2876.8845,2896.6829,2868.4240561973684
2019-05-13,2811.8701170000004,3894030000,2886.5099750000077,2909.340936619046,2889.03542343077,2888.813579742818,-0.22184368795205955,32.56434470161382,2974.4696260222736,2844.212247215818,2834.445880844533,2810.8701170000004,2901.872,2878.685,2896.273,2884.3426368805553
2019-05-14,2834.409912,3322720000,2870.6199777142933,2905.8647461428554,2884.9890892507133,2880.4437847054614,-4.545304545251838,36.64142914919825,2979.147604441252,2832.581887844459,2834.421901614844,2833.409912,2903.3403,2880.5044,2895.7898,2815.2076132997854
2019-05-15,2850.959961,3125950000,2858.975690571436,2903.2637881904748,2882.4684130839937,2875.907811827698,-6.56060125629574,38.63910949711203,2980.542007184699,2825.9855691962507,2845.4472745382814,2849.959961,2904.761,2882.3452,2895.2385,2838.526387548242
2019-05-16,2876.320068,3338060000,2857.8714075714365,2901.7999790952363,2882.0129801148087,2875.971235854206,-6.041744260602627,39.09933929318478,2979.998657681606,2823.6013005088666,2866.0291368460935,2875.320068,2906.1333,2884.2095,2894.6255,2846.6008912068396
2019-05-17,2859.530029,3257950000,2855.0299942857223,2899.8514113809506,2880.3475763285264,2873.4418194150976,-6.9057569134288315,40.213478963499405,2980.2783693079496,2819.4244534539516,2861.696398282031,2858.530029,2907.456,2886.099,2893.9565,2878.15088419643
2019-05-20,2840.22998,3288870000,2850.6742812857224,2896.765694761903,2877.375902526414,2868.332305658929,-9.043596867485121,42.270832743723886,2981.307360249351,2812.224029274455,2847.385452760677,2839.22998,2908.7278,2888.0159,2893.2383,2863.682673209647
2019-05-21,2864.360107,3218700000,2848.2400248571507,2894.689034571427,2876.411769524457,2867.7211981729397,-8.69057135151752,41.87649395275358,2978.442022476934,2810.9360466659195,2858.701888920226,2863.360107,2909.948,2889.9617,2892.4775,2843.0287054481046
2019-05-22,2856.27002,3192510000,2854.582868142865,2891.0028482857124,2874.9197880782012,2865.959478454026,-8.960309624175352,41.805510333547346,2974.613868952807,2807.3918276186178,2857.080642973409,2855.27002,2911.115,2891.938,2891.6812,2864.095747631033
2019-05-23,2822.23999,3891980000,2852.8443078571513,2886.002371619046,2871.0175808131494,2859.2334033072525,-11.784177505896878,43.39605418465456,2972.794479988355,2799.2102632497367,2833.8535409911365,2821.23999,2912.2283,2893.9458,2890.8567,2854.960121733232
2019-05-24,2826.060059,2887390000,2849.2871790000086,2881.235235285713,2867.6873940121754,2854.1298118753675,-13.557582136807923,43.14388015296275,2967.5229955916384,2794.9474749797873,2828.657886330379,2825.060059,2913.2864,2895.9866,2890.0117,2826.7635589492693
2019-05-28,2802.389893,4121410000,2838.7257254285796,2874.68809290476,2862.8505420853476,2846.16982435608,-16.6807177292676,43.49877400126319,2961.6856409072866,2787.690544902234,2811.1458907767933,2801.389893,2914.2883,2898.061,2889.154,2828.6253889948734
2019-05-29,2783.02002,3700050000,2827.7957241428653,2867.068568666665,2856.9371700790257,2836.4544698397603,-20.48270023926534,44.04217224922705,2955.152913165119,2778.9842241682113,2792.395310258931,2782.02002,2915.2336,2900.1697,2888.2917,2801.2063380348877
2019-05-30,2788.860107,3273790000,2820.4571708571507,2859.593808142856,2851.8944246657647,2829.1322601721045,-22.762164493660293,44.596934120433694,2948.787676383723,2770.3999399019885,2790.0385080863102,2787.860107,2916.1206,2902.313,2887.4329,2786.347745230352
2019-05-31,2752.060059,3981020000,2804.4143068571507,2851.419049999999,2844.499286468301,2817.2749984533193,-27.22428801498154,47.88520182707904,2947.189453654157,2755.648646345841,2764.71954202877,2751.060059,2916.949,2904.4912,2886.5862,2790.2737432711383
2019-06-03,2744.449951,3966700000,2788.440011285722,2843.1776181428563,2837.08822458176,2806.0711449989626,-31.017079582797578,47.44965461661315,2938.0769273760825,2748.27830890963,2751.206481342923,2743.449951,2917.7173,2906.7046,2885.7603,2752.585076714773
2019-06-04,2803.27002,3810430000,2785.730015571436,2836.3981003809513,2834.583172390519,2805.6402026914297,-28.94296969908919,42.45057398176234,2921.299248344476,2751.4969524174267,2785.9155071143073,2802.27002,2918.4248,2908.9524,2884.9636,2748.3057543411514
2019-06-05,2826.149902,3548830000,2785.742850285722,2831.33523995238,2833.9584856949245,2808.7955410465943,-25.162944648330267,40.6198109980521,2912.5748619484843,2750.095617956276,2812.7384370381023,2825.149902,2919.0706,2911.2346,2884.2056,2801.4300489446746
2019-06-06,2843.48999,3396410000,2791.6142927142937,2829.403808571428,2834.664523050856,2814.133148577888,-20.53137447296831,39.02162775126533,2907.4470640739582,2751.3605530688974,2833.2394723460343,2842.48999,2919.6538,2913.55,2883.4944,2823.9274353293654
2019-06-07,2873.340088,3220250000,2804.517159571437,2829.1142926666657,2837.5293797137556,2823.241908488982,-14.287471224773526,39.18054978205762,2907.475392230781,2750.7531931025505,2859.9732161153447,2872.340088,2920.1738,2915.898,2882.8398,2848.513904631235
2019-06-10,2886.72998,3209210000,2818.498570000008,2829.876674047618,2841.1738686238477,2833.0093041060622,-8.164564517785493,39.58583763983336,2909.048349327285,2750.704998767951,2877.8110587051146,2885.72998,2920.6294,2918.277,2882.2502,2874.254297398717
2019-06-11,2885.719971,3548420000,2837.592843142865,2830.0823916190466,2844.47357991097,2841.11863747436,-3.35494243660969,41.47020379203035,2913.0227992031073,2747.141984034986,2883.083666901705,2884.719971,2921.0203,2920.6858,2881.7349,2885.149673777938
2019-06-12,2879.840088,3034130000,2856.9342912857223,2833.3190569047606,2847.0933212508976,2847.075783709074,-0.017537541823458014,42.88721158689894,2919.0934800785585,2747.5446337309627,2880.921280967235,2878.840088,2921.345,2923.1223,2881.3027,2887.3552175215887
2019-06-13,2891.639893,3069810000,2869.558558857151,2836.0442940952366,2850.393067306387,2853.9318005230625,3.5387332166756096,44.697084921768976,2925.4384639387745,2746.650124251699,2888.0670223224115,2890.639893,2921.6033,2925.5847,2880.9624,2880.9853502044725
2019-06-14,2886.97998,2922330000,2878.248570000008,2837.7595330952367,2853.1032089873947,2859.0161358272067,5.912926839811917,45.27185894129164,2928.30325097782,2747.2158152126535,2887.3423274408037,2885.97998,2921.7944,2928.0708,2880.7227,2891.510519011322
2019-06-17,2889.669922,2810140000,2884.8457031428657,2838.39524042857,2855.8118543957357,2863.732102930713,7.920248534977418,46.58485036915282,2931.5649411668755,2745.2255396902647,2888.8940571469343,2888.669922,2921.9175,2930.578,2880.5918,2886.89348372903
2019-06-18,2917.75,3437620000,2891.1899762857224,2841.1676199999984,2860.3998651812367,2872.0425486336803,11.642683452443634,49.94207077889022,2941.0517615577787,2741.283478442218,2908.1313523823114,2916.75,2921.972,2933.1033,2880.5781,2891.9628864864594
2019-06-19,2926.459961,3287890000,2896.8656878571514,2845.2738095714267,2865.2932056122563,2880.4144582284985,15.121252616242145,53.27596865969792,2951.8257468908223,2738.721872252031,2920.3504247941037,2925.459961,2921.957,2935.644,2880.6897,2918.2156900220984
2019-06-20,2954.179932,3905940000,2906.6456822857226,2849.5509440952364,2871.8774075669044,2891.7629926548834,19.885585087979052,58.658436366082604,2966.867816827402,2732.234071363071,2942.9034295980346,2953.179932,2921.8723,2938.1968,2880.9338,2926.2718980560026
2019-06-21,2950.459961,5000120000,2916.734235571437,2854.0361793809507,2877.6983374508377,2900.793295477209,23.094958026371387,62.439994935794005,2978.9161692525386,2729.156189509363,2947.941117199345,2949.459961,2921.7168,2940.758,2881.318,2956.871006625674
2019-06-24,2945.350098,3136250000,2924.4071220000083,2859.898565476189,2882.7095789729983,2907.6481881730233,24.938609200024985,65.10763245284967,2990.1138303818884,2729.68330057049,2946.2137710664483,2944.350098,2921.4905,2943.324,2881.849,2950.87765012528
2019-06-25,2917.3798829999996,3578050000,2928.7499652857227,2864.247128523808,2885.2777496416657,2909.145371992558,23.86762235089236,64.68046271392008,2993.6080539516483,2734.8862030959676,2926.991179022149,2916.3798829999996,2921.1924,2945.8906,2882.5332,2947.554651627131
2019-06-26,2913.780029,3478130000,2932.1942662857227,2869.551420714284,2887.389029594135,2909.8583961475492,22.469366553414147,62.27257303104472,2994.0965667763735,2745.006274652195,2918.18374567405,2912.780029,2920.8223,2948.454,2883.3765,2918.1842476720212
2019-06-27,2924.919922,3122920000,2933.2185408571518,2876.3085589047605,2890.169095698273,2912.1755539710034,22.00645827273047,59.88199721194574,2996.072553328652,2756.544564480869,2922.67452989135,2923.919922,2920.3796,2951.0095,2884.3838,2914.6937860281037
2019-06-28,2941.76001,5420700000,2935.404262142866,2883.5895066666653,2893.990644905808,2916.727008744695,22.736363838886973,53.073544137515825,2989.736594941697,2777.4424183916335,2935.3981832971167,2940.76001,2919.8638,2953.5525,2885.56,2924.57216525041
2019-07-01,2964.330078,3513270000,2936.8542830000088,2893.6976028095223,2899.2009732831557,2924.050557860896,24.84958457774019,43.14541500854925,2979.9884328266207,2807.406772792424,2954.6861130990387,2963.330078,2919.2744,2956.078,2886.9094,2942.851865801357
2019-07-02,2973.01001,3206840000,2940.075718571437,2904.5814151428553,2904.668309336255,2931.582781266912,26.914471930657328,39.409060798705774,2983.3995367402667,2825.763293545444,2966.902044366346,2972.01001,2918.611,2958.581,2888.435,2966.6956727006973
2019-07-03,2995.820068,1963720000,2947.2857142857233,2913.750465047617,2911.4202914594953,2941.46544076431,30.045149304814913,38.74548973704895,2991.241444521715,2836.259485573519,2986.180726788782,2994.820068,2917.8735,2961.0566,2890.1396,2974.420162497768
2019-07-05,2990.409912,2434210000,2957.718575571437,2921.5723702857126,2917.2713744624957,2948.9953594159547,31.723984953458967,37.764424232340296,2997.1012187503934,2846.043521821032,2989.0001835962607,2989.409912,2917.0615,2963.4993,2892.025,2997.3150606733498
2019-07-08,2975.949951,2904550000,2966.599993000008,2927.879987476189,2921.617935687496,2953.142219659654,31.524283972158173,37.27551038206522,3002.4310082403194,2853.3289667120584,2980.300028532087,2974.949951,2916.1746,2965.903,2894.0923,2990.425548529419
2019-07-09,2979.6298829999996,3028210000,2974.4157017142934,2932.9414062857127,2925.9151169699035,2957.2172447889384,31.302127819034922,37.30834790604596,3007.5581020978047,2858.3247104736206,2979.8532648440287,2978.6298829999996,2915.2124,2968.2625,2896.3416,2977.963243112135
2019-07-10,2993.070068,3154240000,2981.745710000008,2938.0052199999986,2930.889557786948,2962.7330637444866,31.843505957538582,37.528693148658405,3013.0626062973156,2862.9478337026817,2988.6644669480097,2992.070068,2914.1748,2970.5718,2898.772,2980.301304033567
2019-07-11,2999.909912,3154620000,2986.8285434285795,2943.442836238094,2936.0021766175446,2968.4525788607198,32.450402243175176,36.89247212773751,3017.2277804935693,2869.657891982619,2996.1614303160036,2998.909912,2913.0615,2972.8247,2901.3826,2992.3377918539754
2019-07-12,3013.77002,2974960000,2992.651402000008,2949.820452047618,2941.7627576088375,2975.424492882147,33.66173527330966,37.416456957596814,3024.6533659628117,2874.987538132424,3007.9004901053345,3012.77002,2911.8723,2975.0151,2904.1702,3001.4391348621907
2019-07-15,3014.300049,2874970000,2995.2913992857225,2955.6614118571415,2947.1358903044793,2981.405347669509,34.269457365029666,36.4599650605827,3028.5813419783067,2882.7414817359763,3012.1668627017784,3013.300049,2910.6074,2977.1367,2907.1318,3016.166316422877
2019-07-16,3004.040039,3290650000,2997.2385602857225,2961.235700380951,2951.3510124300733,2984.8876078742,33.53659544412676,33.875414388584915,3028.986529158121,2893.4848716037814,3006.748980233926,3003.040039,2909.2664,2979.1833,2910.263,3015.1801426096154
2019-07-17,2984.419922,3181600000,2998.448556142866,2965.7476051428557,2953.8005612871048,2984.8156562012464,31.015094914141628,32.241245146388195,3030.230095435632,2901.2651148500795,2991.862941411309,2983.419922,2907.8489,2981.1484,2913.558,3005.670070180751
2019-07-18,2995.110107,3296580000,3000.6600167142947,2969.4314197619033,2956.860527636208,2986.3994178625935,29.53889022638532,31.207245303187836,3031.845910368279,2907.0169291555276,2994.027718470436,2994.110107,2906.3555,2983.0254,2917.0107,2985.7953677506594
