??,??,??,???,???,??,??,???(?),????(?),???
7/17/2018,9307.66,9285.16,-32.2,-0.35%,9175.66,9307.66,69144760,8838553,-
7/16/2018,9322.97,9317.36,-9.61,-0.10%,9278.07,9366.21,74503392,9323853,-
7/13/2018,9288.47,9326.97,53.36,0.58%,9270.2,9344.65,84003800,10439244,-
7/12/2018,9019.96,9273.61,249.79,2.77%,9019.96,9312.38,102197216,11904436,-
7/11/2018,9024.72,9023.82,-181.61,-1.97%,8916.98,9092.88,77079840,9315063,-
7/10/2018,9176.29,9205.43,44.81,0.49%,9123.22,9213.87,70147136,8877335,-
7/9/2018,8954.31,9160.62,249.28,2.80%,8954.31,9160.62,74216200,9571036,-
7/6/2018,8873.9,8911.34,49.16,0.55%,8736.36,9035.45,86367520,10415609,-
7/5/2018,9036.12,8862.18,-173.31,-1.92%,8844.67,9096.54,73187568,8769977,-
7/4/2018,9182.96,9035.49,-186.05,-2.02%,9008.09,9200.27,76606904,9414278,-
7/3/2018,9184.31,9221.54,41.74,0.45%,8945.42,9233.02,87942192,11525881,-
7/2/2018,9369.24,9179.8,-199.68,-2.13%,9107.55,9393.1,76742112,10039667,-
6/29/2018,9100.6,9379.48,307.75,3.39%,9078.24,9381.03,79882744,9430487,-
6/28/2018,9130.52,9071.73,-96.93,-1.06%,9065.2,9230.89,68021496,8045357.5,-
6/27/2018,9338.01,9168.66,-170.71,-1.83%,9139.82,9378.08,69651720,8542397,-
6/26/2018,9201,9339.37,14.54,0.16%,9175.39,9364.51,75533680,8853417,-
6/25/2018,9472.91,9324.83,-85.12,-0.90%,9320.66,9494.44,69893808,8555883,-
6/22/2018,9247.02,9409.95,93.27,1.00%,9172.3,9416.09,69428352,7709531.5,-
6/21/2018,9493.5,9316.68,-184.66,-1.94%,9313.09,9573.49,81025784,9369258,-
6/20/2018,9367.74,9501.34,86.58,0.92%,9310.19,9549.53,77547640,9160850,-
6/19/2018,9775.97,9414.76,-528.37,-5.31%,9336.7,9815.01,107975464,12155381,-
6/15/2018,10077.43,9943.13,-141.05,-1.40%,9902.63,10108.53,72228800,8828231,-
6/14/2018,10124.76,10084.18,-77.47,-0.76%,10054.37,10213.79,58702304,7721224,-
6/13/2018,10280.08,10161.65,-153.63,-1.49%,10161.39,10288,62892212,8354150,-
6/12/2018,10187.31,10315.28,139.93,1.38%,10124.98,10323,64425876,9169396,-
6/11/2018,10191.31,10175.35,-30.17,-0.30%,10141.27,10242.76,58297732,8201076.5,-
6/8/2018,10290.63,10205.52,-108.33,-1.05%,10136.58,10291.89,68526944,8940116,-
6/7/2018,10397.65,10313.85,-51.28,-0.49%,10308.06,10411.56,64357324,8593853,-
6/6/2018,10375.26,10365.13,-20.48,-0.20%,10337.71,10403.93,64454184,8983196,-
6/5/2018,10216.63,10385.61,181.29,1.78%,10216.02,10385.61,72006960,10086375,-
6/4/2018,10192.04,10204.32,34.97,0.34%,10148.69,10237.6,68851608,9613141,-
6/1/2018,10247.16,10169.35,-126.38,-1.23%,10122.99,10280.74,71683336,9510602,-
5/31/2018,10178.96,10295.73,189.94,1.88%,10115.66,10295.73,82625048,11080493,-
5/30/2018,10203.66,10105.8,-243.26,-2.35%,10097.48,10252.15,90345496,11477690,-
5/29/2018,10446.99,10349.07,-116.47,-1.11%,10347.94,10517.14,73511960,10358845,-
5/28/2018,10439.65,10465.54,17.32,0.17%,10382.72,10536.57,75035344,10302072,-
5/25/2018,10550.63,10448.23,-115.9,-1.10%,10435.95,10576.81,77834320,10415652,-
5/24/2018,10632.5,10564.13,-66.99,-0.63%,10552.35,10657.45,70573336,9990447,-
5/23/2018,10746.82,10631.12,-134.68,-1.25%,10631.12,10746.82,80879424,11191411,-
5/22/2018,10754.7,10765.81,0.46,0.00%,10689.51,10765.8,74771776,10569672,-
5/21/2018,10741.19,10765.35,92.83,0.87%,10731.61,10789.76,87440456,12199707,-
5/18/2018,10623.91,10672.52,37.02,0.35%,10557.75,10679.51,69089384,9635289,-
5/17/2018,10702.07,10635.5,-65.82,-0.62%,10615.92,10713.71,64552428,9293264,-
5/16/2018,10713.59,10701.32,-46.67,-0.43%,10691.14,10776.43,74351808,10766647,-
5/15/2018,10692.82,10747.99,76.53,0.72%,10632.55,10747.99,75523192,10584184,-
5/14/2018,10649.11,10671.46,37.16,0.35%,10641.29,10723.79,82650272,12073718,-
5/11/2018,10748.89,10634.3,-95.47,-0.89%,10634.23,10752.83,80387104,11383823,-
5/10/2018,10706.73,10729.77,40.7,0.38%,10651.87,10742.64,76197664,10896528,-
5/9/2018,10693.21,10689.07,-18.73,-0.17%,10639.92,10705.15,68833096,9757725,-
5/8/2018,10632.11,10707.8,81.29,0.76%,10630.58,10721.98,85200080,12496427,-
5/7/2018,10456.43,10626.51,200.32,1.92%,10450.49,10626.51,81889384,12219540,-
5/4/2018,10428.85,10426.19,-32.43,-0.31%,10411.83,10490.06,70070320,10262055,-
5/3/2018,10329.16,10458.62,115.77,1.12%,10228.26,10459.38,91258584,12184557,-
5/2/2018,10356.19,10342.85,18.38,0.18%,10283.52,10433.28,77284504,11100579,-
4/27/2018,10353.02,10324.47,32.35,0.31%,10239.97,10382.77,82734536,12325044,-
4/26/2018,10495.03,10292.12,-254.98,-2.42%,10290.37,10508.01,91538840,13337107,-
4/25/2018,10503.94,10547.1,-9.72,-0.09%,10488.87,10579.18,86879296,12153689,-
4/24/2018,10325.51,10556.82,226.19,2.19%,10325.51,10556.82,97559808,13249126,-
4/23/2018,10416.78,10330.63,-78.28,-0.75%,10228.09,10471.21,94865488,12589622,-
4/20/2018,10571.99,10408.91,-189.44,-1.79%,10392.69,10619.17,97119424,13221431,-
4/19/2018,10502.36,10598.35,107.2,1.02%,10485.41,10646.7,101039392,14335831,-
4/18/2018,10477.52,10491.15,95.99,0.92%,10249.87,10514.74,110977720,15202707,-
4/17/2018,10636.88,10395.16,-226.63,-2.13%,10390.05,10669.15,95403800,13518631,-
4/16/2018,10660.69,10621.79,-65.23,-0.61%,10540.69,10704.39,94994168,13094983,-
4/13/2018,10789.77,10687.02,-39.94,-0.37%,10670.65,10825.67,72453768,10267786,-
4/12/2018,10797.35,10726.96,-81.41,-0.75%,10720.83,10825.66,75282680,10503031,-
4/11/2018,10796.5,10808.37,42.76,0.40%,10786.84,10856.44,89914360,12669944,-
4/10/2018,10671.68,10765.62,112.24,1.05%,10628.24,10765.62,92275600,12888835,-
4/9/2018,10655.07,10653.38,-31.18,-0.29%,10571.16,10725.11,85326408,12162062,-
4/4/2018,10778.86,10684.56,-69.73,-0.65%,10678.94,10829.82,88993936,13217881,-
4/3/2018,10718.43,10754.29,-98.66,-0.91%,10667.33,10783.93,100237544,14344176,-
4/2/2018,10887.47,10852.95,-15.7,-0.14%,10835.71,10950.22,116543408,17638536,-
3/30/2018,10776.71,10868.66,112.74,1.05%,10766.53,10883.05,99694568,14966661,-
3/29/2018,10676.56,10755.92,125.23,1.18%,10564.29,10778.8,95818216,13792330,-
3/28/2018,10633.7,10630.69,-145.02,-1.35%,10613.06,10768.48,99481664,14781458,-
3/27/2018,10683.16,10775.71,211.34,2.00%,10675.5,10799.37,114134232,16551659,-
3/26/2018,10303.75,10564.38,124.39,1.19%,10217.22,10564.38,101878672,13669555,-
3/23/2018,10511.16,10439.99,-437.26,-4.02%,10256.5,10664.93,148411344,18283558,-
3/22/2018,10988.83,10877.25,-103.3,-0.94%,10858.45,11035.58,82653152,11585663,-
3/21/2018,11100.91,10980.55,-97.25,-0.88%,10973.58,11170.56,94144608,13087321,-
3/20/2018,10982.73,11077.8,9.31,0.08%,10951.99,11082.03,80327584,11286474,-
3/19/2018,11046.03,11068.49,17.37,0.16%,10994.68,11120.75,80585800,11522708,-
3/16/2018,11166.43,11051.12,-112.53,-1.01%,11051.12,11192.36,81678704,11777087,-
3/15/2018,11100.53,11163.65,24.02,0.22%,11051.62,11195.94,90255352,12807066,-
3/14/2018,11198.77,11139.63,-101.78,-0.91%,11138.39,11242.3,93934472,13351464,-
3/13/2018,11311.04,11241.41,-84.86,-0.75%,11236.38,11335.3,108874096,15064782,-
3/12/2018,11266.32,11326.27,131.36,1.17%,11260.46,11328.77,134133952,19249354,-
3/9/2018,11040.37,11194.91,175.83,1.60%,11030.55,11203.72,120272992,16174558,-
3/8/2018,10902.35,11019.08,114.09,1.05%,10892.18,11019.08,83246376,11629072,-
3/7/2018,10993.95,10904.99,-102.96,-0.94%,10897.58,11031.48,91848016,12345999,-
3/6/2018,10909.28,11007.95,132.27,1.22%,10873.84,11007.95,112230000,15383316,-
3/5/2018,10882.87,10875.68,19.43,0.18%,10813.46,10913.03,80019488,11420785,-
3/2/2018,10857.87,10856.25,-86.88,-0.79%,10840.01,10947.39,91565928,13064456,-
3/1/2018,10754.62,10943.13,114.4,1.06%,10732.93,10943.13,97848128,14041915,-
2/28/2018,10705.81,10828.73,21.2,0.20%,10656.36,10875.71,100884640,14501629,-
2/27/2018,10898.29,10807.54,-88.02,-0.81%,10791.95,10915.36,103968704,14879505,-
2/26/2018,10731.31,10895.56,232.77,2.18%,10670.17,10920.21,111841056,15135749,-
2/23/2018,10667.81,10662.79,3.85,0.04%,10578.79,10700.11,75885776,10163169,-
2/22/2018,10547.81,10658.94,227.03,2.18%,10526.98,10667.8,78393744,10398247,-
2/14/2018,10381.16,10431.91,69.48,0.67%,10319.15,10433.09,53414724,7094089.5,-
2/13/2018,10367.68,10362.43,70.55,0.69%,10350.17,10486.81,77232928,10426008,-
2/12/2018,10059.86,10291.88,290.65,2.91%,10059.86,10325.68,81027816,10879415,-
2/9/2018,10096.46,10001.23,-371.36,-3.58%,9868.83,10172.78,113534440,14122190,-
2/8/2018,10219.39,10372.59,125.62,1.23%,10219.21,10411.2,86175792,11671630,-
2/7/2018,10563.31,10246.97,-130.64,-1.26%,10173.66,10599.54,112730224,15017935,-
2/6/2018,10603.54,10377.61,-458.64,-4.23%,10377.61,10685.16,117863712,15630511,-
2/5/2018,10761.08,10836.25,-88.91,-0.81%,10741.85,10873.24,91115088,12791493,-
2/2/2018,10794.13,10925.16,60.82,0.56%,10663.54,10933.16,106989568,13784516,-
2/1/2018,11145.41,10864.34,-295.34,-2.65%,10836.35,11171.36,129168568,16291111,-
1/31/2018,11210.06,11159.68,-119.1,-1.06%,11119.32,11244.18,107157536,14412726,-
1/30/2018,11319.97,11278.78,-73.94,-0.65%,11260.31,11370,93846016,13035090,-
1/29/2018,11547.68,11352.72,-205.1,-1.77%,11323.69,11556.65,122436120,17114802,-
1/26/2018,11524.7,11557.82,5.26,0.05%,11512.94,11605.13,100843048,14499688,-
1/25/2018,11588.38,11552.56,-55.01,-0.47%,11548.68,11633.46,123896112,17410796,-
1/24/2018,11548.21,11607.57,52.32,0.45%,11456.26,11613.96,127843328,18006826,-
1/23/2018,11514.56,11555.26,42.18,0.37%,11493.74,11564.95,101583200,14352184,-
1/22/2018,11289.86,11513.08,216.81,1.92%,11273.69,11513.08,107756152,15693731,-
1/19/2018,11314.46,11296.27,-23.64,-0.21%,11276.57,11393.04,112007600,14783658,-
1/18/2018,11287.64,11319.91,15.94,0.14%,11279.42,11375.11,89563024,12569239,-
1/17/2018,11366.6,11303.97,-82.94,-0.73%,11185.92,11367.16,133193000,18370890,-
1/16/2018,11283.6,11386.91,79.45,0.70%,11283.29,11402.46,117030584,16616713,-
1/15/2018,11453.33,11307.46,-154.53,-1.35%,11277.31,11476.58,133224584,17973344,-
1/12/2018,11459.46,11461.99,-2.21,-0.02%,11420.26,11496.53,102230456,13463499,-
1/11/2018,11411.58,11464.2,27.12,0.24%,11372.36,11482.81,106515264,14446166,-
1/10/2018,11439.22,11437.08,-10.01,-0.09%,11345.1,11446.41,113766792,15179109,-
1/9/2018,11371.93,11447.09,64.37,0.57%,11358.13,11449.6,107944056,14202059,-
1/8/2018,11343.82,11382.72,39.87,0.35%,11287.6,11386.04,122767536,16512052,-
1/5/2018,11339.57,11342.85,1.5,0.01%,11310.29,11372.29,107700288,14618953,-
1/4/2018,11270.91,11341.35,61.05,0.54%,11259.46,11341.35,99226400,14558703,-
1/3/2018,11181.18,11280.3,102.25,0.91%,11171.12,11316.46,115487040,16463784,-
1/2/2018,11079.64,11178.05,137.6,1.25%,11072.87,11178.05,97939744,13362061,-
12/29/2017,10984.86,11040.45,66.44,0.61%,10971.64,11040.62,76182816,10433321,-
12/28/2017,10907.83,10974.01,62.8,0.58%,10891.75,11029.08,89650504,11940743,-
12/27/2017,11007.44,10911.21,-110.62,-1.00%,10911.21,11026.73,86883208,11654750,-
12/26/2017,11002.34,11021.83,16.33,0.15%,10900.64,11025.1,75802824,9864888,-
12/25/2017,11102.16,11005.5,-88.66,-0.80%,10967.37,11132.59,81742568,11423905,-
12/22/2017,11112.73,11094.16,-24.09,-0.22%,11078.26,11154.75,69269712,10104174,-
12/21/2017,10988.77,11118.25,114.92,1.04%,10935.22,11149.04,85104904,12088878,-
12/20/2017,11072.41,11003.33,-71.66,-0.65%,10988.89,11079.13,74264264,10785799,-
12/19/2017,10964.14,11075,114.88,1.05%,10963.79,11077.18,71159600,10290409,-
12/18/2017,10991.11,10960.12,-38,-0.35%,10916.19,11046.1,71952904,10647228,-
12/15/2017,11092.15,10998.12,-112.06,-1.01%,10970.73,11104.82,87565856,12036737,-
12/14/2017,11138.46,11110.18,-33.71,-0.30%,11070.98,11165.61,79926560,11668444,-
12/13/2017,11030.01,11143.89,100.68,0.91%,11019.59,11143.89,73448336,10802500,-
12/12/2017,11145.75,11043.21,-100.05,-0.90%,11043.21,11176.58,82547568,12265193,-
12/11/2017,10962.18,11143.26,208.2,1.90%,10962.18,11143.26,89580216,13339906,-
12/8/2017,10789.17,10935.06,133.81,1.24%,10789.17,10964.79,79868440,11426269,-
12/7/2017,10886.26,10801.25,-110.08,-1.01%,10795.84,10925.2,73235160,10280062,-
12/6/2017,10838.04,10911.33,56.58,0.52%,10716.29,10911.33,89133024,12208320,-
12/5/2017,10988.07,10854.76,-159.79,-1.45%,10801.4,11044.18,97036664,13510723,-
12/4/2017,11007.19,11014.55,1.4,0.01%,10993.51,11099.83,87938152,12272782,-
12/1/2017,10941.87,11013.15,69.05,0.63%,10926.77,11077.43,81705760,11768189,-
11/30/2017,11036.75,10944.1,-138.03,-1.25%,10908.7,11079.93,81685592,11721669,-
11/29/2017,11095.91,11082.13,-9.01,-0.08%,10936.99,11108.45,98128928,13817581,-
11/28/2017,10938.4,11091.14,136.96,1.25%,10936.4,11091.14,84214080,11836876,-
11/27/2017,11126.78,10954.18,-214.21,-1.92%,10936.14,11126.78,100789952,13638368,-
11/24/2017,11135.07,11168.39,-7.08,-0.06%,11058.99,11225.2,93689320,13913050,-
11/23/2017,11520.04,11175.47,-385.33,-3.33%,11162.53,11520.04,117300048,17192128,-
11/22/2017,11598.04,11560.8,-41.3,-0.36%,11454.26,11666.13,119001344,17876246,-
11/21/2017,11419.09,11602.1,164.55,1.44%,11407.4,11602.1,122782696,18075102,-
11/20/2017,11229.58,11437.55,144.62,1.28%,11087.53,11437.55,104921416,15160523,-
11/17/2017,11519.92,11292.93,-245.03,-2.12%,11292.93,11555.87,129489192,18199140,-
11/16/2017,11442.85,11537.96,75.85,0.66%,11415.75,11549.08,103330608,15193873,-
11/15/2017,11548,11462.11,-120.82,-1.04%,11390.3,11583.97,99769408,15743487,-
11/14/2017,11689.93,11582.93,-112.07,-0.96%,11538.34,11700.73,122645800,18270134,-
11/13/2017,11657.63,11695,49.95,0.43%,11631.19,11714.98,119989408,18266886,-
11/10/2017,11540.55,11645.05,91.81,0.79%,11531.59,11659.66,113823600,16932830,-
11/9/2017,11443.54,11553.24,105.84,0.92%,11414.2,11553.24,103609336,14858533,-
11/8/2017,11460.15,11447.4,-20.57,-0.18%,11441.8,11563.82,120501912,17530186,-
11/7/2017,11374.09,11467.97,94.23,0.83%,11370.99,11467.97,111889368,15554259,-
11/6/2017,11218.04,11373.74,158.55,1.41%,11181.29,11373.74,103613040,14295341,-
11/3/2017,11287.55,11215.19,-77.23,-0.68%,11165.06,11334.68,102181240,13882745,-
11/2/2017,11336.48,11292.42,-57.9,-0.51%,11251.82,11337.01,100563384,13319533,-
11/1/2017,11370.52,11350.32,-17.3,-0.15%,11341.07,11424.48,87444912,12805965,-
10/31/2017,11293.34,11367.62,55.01,0.49%,11274.17,11368.19,84982208,12304515,-
10/30/2017,11446.79,11312.61,-131.91,-1.15%,11192.18,11472.28,124730176,16248648,-
10/27/2017,11456.57,11444.52,-16.76,-0.15%,11415.37,11484.91,95704896,12845210,-
10/26/2017,11430,11448.72,11.51,0.10%,11413.93,11509.02,87748472,12685346,-
10/25/2017,11330.75,11437.21,98.08,0.86%,11324.17,11437.21,87155936,11596549,-
10/24/2017,11289.01,11339.13,32.82,0.29%,11260.68,11339.13,79953264,11408563,-
10/23/2017,11239.69,11306.31,67.43,0.60%,11228.68,11306.31,78910424,10686452,-
10/20/2017,11154.93,11238.88,49.33,0.44%,11140.34,11238.88,72195368,10280175,-
10/19/2017,11275.31,11189.55,-93.2,-0.83%,11179.19,11290.72,96010032,12504125,-
10/18/2017,11277.54,11282.75,7.41,0.07%,11240.63,11323.26,93044800,12364427,-
10/17/2017,11254.41,11275.34,4.14,0.04%,11214.82,11318,82378304,11485929,-
10/16/2017,11401.87,11271.2,-127.89,-1.12%,11267.27,11422.93,124245648,16130630,-
10/13/2017,11312.27,11399.09,91.76,0.81%,11308.04,11400.05,96791248,13171926,-
10/12/2017,11309.36,11307.33,-5.17,-0.05%,11240.66,11337.12,95431232,13117052,-
10/11/2017,11319.46,11312.5,-17.01,-0.15%,11285.92,11344.59,112635576,16393976,-
10/10/2017,11260.77,11329.51,65.24,0.58%,11229.02,11329.51,111433608,15540498,-
10/9/2017,11248.35,11264.27,177.08,1.60%,11214.9,11305.46,122707136,17034230,-
9/29/2017,11042.72,11087.19,55.77,0.51%,11042.72,11121.44,98608096,13047461,-
9/28/2017,11029.47,11031.42,-5.36,-0.05%,11015.48,11072.56,97338744,12849238,-
9/27/2017,10951.96,11036.78,86.01,0.79%,10951.88,11063.13,89416288,12534710,-
9/26/2017,10915.66,10950.77,20.1,0.18%,10890.92,10951.14,86536408,11484878,-
9/25/2017,11054.26,10930.67,-139.15,-1.26%,10911.03,11056.66,92909920,13253913,-
9/22/2017,11067.11,11069.82,-28.52,-0.26%,11025.89,11085.43,95188856,13599137,-
9/20/2017,11083.85,11191.13,107.23,0.97%,11083.21,11191.13,114837352,16195378,-
9/19/2017,11160.42,11083.9,-69.63,-0.62%,11055.24,11181.18,110307184,15879543,-
9/18/2017,11062.43,11153.53,90.43,0.82%,11062.43,11154.75,109333144,15229061,-
9/15/2017,11058.1,11063.1,-7.39,-0.07%,11022.25,11105.02,119125368,16613014,-
9/14/2017,11091.97,11070.49,-21,-0.19%,11033.82,11124.54,119883768,16817926,-
9/13/2017,11040.11,11091.49,47.88,0.43%,11015.74,11091.49,110331640,16171986,-
9/12/2017,11063.85,11043.61,-10.12,-0.09%,11019.87,11131.95,157250560,23295634,-
9/11/2017,10979.72,11053.73,82.96,0.76%,10963.62,11053.73,114901032,17038466,-
9/8/2017,10961.7,10970.77,1.64,0.01%,10911.82,11011.11,103874520,15113021,-
9/7/2017,11030.6,10969.13,-55.46,-0.50%,10966.54,11059.47,126036520,18017786,-
9/6/2017,10959.31,11024.59,37.64,0.34%,10939.26,11036.89,124960368,17607516,-
9/5/2017,10958.2,10986.95,24.1,0.22%,10928.86,10995.53,117394832,15880960,-
9/4/2017,10882.13,10962.85,82.29,0.76%,10859.36,10969.57,133094408,17998526,-
9/1/2017,10822.49,10880.56,63.92,0.59%,10807.78,10880.56,124160920,16550461,-
8/31/2017,10823.31,10816.64,2.71,0.03%,10759.79,10837.39,97240688,13415385,-
8/30/2017,10762.24,10813.93,51.56,0.48%,10762.24,10825.89,102509576,13670485,-
8/29/2017,10796.54,10762.37,-47.37,-0.44%,10742.13,10818.22,104575648,14259098,-
8/28/2017,10678.35,10809.74,150.73,1.41%,10678.35,10866.36,127385712,18406188,-
8/25/2017,10556.54,10659.01,106.05,1.00%,10556.54,10671.71,88180664,12042299,-
8/24/2017,10617.74,10552.96,-66.38,-0.63%,10537.78,10627.34,75795608,10399194,-
8/23/2017,10642.22,10619.34,-34.64,-0.33%,10583.18,10662.83,85885200,11302865,-
8/22/2017,10689.65,10653.98,-35.79,-0.33%,10631.25,10699.05,97291632,13537520,-
8/21/2017,10624.81,10689.77,75.69,0.71%,10624.81,10689.77,97428032,12943461,-
8/18/2017,10586.35,10614.08,-39.65,-0.37%,10563.26,10636.15,96076776,12976427,-
8/17/2017,10601.65,10653.73,52.95,0.50%,10583.4,10658.16,115568424,15630582,-
8/16/2017,10550.42,10600.78,41,0.39%,10504.07,10625.34,115318896,15518723,-
8/15/2017,10527.54,10559.78,39.98,0.38%,10502.52,10559.78,99299048,13338925,-
8/14/2017,10308.97,10519.8,228.45,2.22%,10308.97,10519.8,109777800,14654336,-
8/11/2017,10407.33,10291.35,-189.29,-1.81%,10281.63,10459.91,121448960,14496134,-
8/10/2017,10525.15,10480.64,-63.95,-0.61%,10417.08,10582.16,114034664,14187110,-
8/9/2017,10487.77,10544.59,48.34,0.46%,10455.27,10548.06,116866912,13923770,-
8/8/2017,10448.87,10496.25,45.17,0.43%,10437.85,10516.61,123319376,14375200,-
8/7/2017,10353.15,10451.08,89.85,0.87%,10347.5,10451.08,100742304,11891407,-
8/4/2017,10426.53,10361.23,-74.94,-0.72%,10360.83,10450.69,128902408,15151815,-
8/3/2017,10454.01,10436.17,-33.17,-0.32%,10403.59,10507.23,121996768,15007829,-
8/2/2017,10526,10469.34,-56.01,-0.53%,10461.95,10557.47,133258376,16407360,-
8/1/2017,10496.71,10525.35,20.31,0.19%,10472.71,10529.9,124894528,15415358,-
7/31/2017,10438.23,10505.04,67.1,0.64%,10418.83,10517.33,131952280,16002354,-
7/28/2017,10381.31,10437.94,42.75,0.41%,10371.39,10456.41,108219272,13698960,-
7/27/2017,10284.92,10395.19,97.85,0.95%,10216.02,10416.55,130635816,16162937,-
7/26/2017,10365.61,10297.34,-55.87,-0.54%,10247.54,10380.7,106076080,12676718,-
7/25/2017,10398.25,10353.21,-51.01,-0.49%,10317.92,10421.21,95663000,11916395,-
7/24/2017,10352.85,10404.22,39.4,0.38%,10341.24,10414.07,101019384,12864650,-
7/21/2017,10354.54,10364.82,-2.16,-0.02%,10342.72,10406.25,92968920,12101795,-
7/20/2017,10288.89,10366.98,71.4,0.69%,10282.28,10392.06,110847192,14324079,-
7/19/2017,10079.68,10295.58,191.82,1.90%,10064.31,10296.29,121515616,14563425,-
7/18/2017,10012.91,10103.76,47.96,0.48%,9960.56,10103.76,91276288,11334006,-
7/17/2017,10383.22,10055.8,-371.99,-3.57%,10006.38,10384.05,127087208,15370841,-
7/14/2017,10445.57,10427.79,-38.31,-0.37%,10382.37,10452.94,83249256,10905385,-
7/13/2017,10444.78,10466.1,12.91,0.12%,10431.5,10491.39,87717184,11655316,-
7/12/2017,10465.87,10453.19,-14.52,-0.14%,10360.1,10494.25,96049632,12660530,-
7/11/2017,10488.89,10467.71,-37.89,-0.36%,10467.12,10568.37,96022920,13039674,-
7/10/2017,10542.55,10505.6,-58.12,-0.55%,10497.39,10574.21,111212568,13833786,-
7/7/2017,10526.78,10563.72,1.66,0.02%,10504.1,10564.31,98824384,12813912,-
7/6/2017,10547.51,10562.06,0.97,0.01%,10467.91,10574.11,104764456,14204274,-
7/5/2017,10443.03,10561.09,86.26,0.82%,10434.68,10561.09,87499888,12534598,-
7/4/2017,10527.77,10474.83,-60.22,-0.57%,10437.4,10527.77,86943424,12369085,-
7/3/2017,10531.73,10535.05,5.44,0.05%,10464.68,10541.86,86028248,11848608,-
6/30/2017,10475.22,10529.61,17.75,0.17%,10454.88,10537.5,74949744,9935644,-
6/29/2017,10460.38,10511.86,60.3,0.58%,10459.94,10523.52,78702432,10528132,-
6/28/2017,10507.05,10451.57,-83.79,-0.80%,10436.08,10517.94,77317000,10383708,-
6/27/2017,10532.57,10535.36,-2.23,-0.02%,10479.35,10548.8,80846256,10758988,-
6/26/2017,10377.22,10537.59,170.81,1.65%,10377.22,10537.59,99176192,13351769,-
6/23/2017,10249.79,10366.78,101.58,0.99%,10196.39,10366.78,84073136,11279173,-
6/22/2017,10361.34,10265.2,-101.97,-0.98%,10265.2,10418.61,92138488,12424984,-
6/21/2017,10327.13,10367.17,78.64,0.76%,10269.32,10367.17,77561864,10198239,-
6/20/2017,10281.57,10288.53,25.73,0.25%,10273.06,10323,79973312,10311478,-
6/19/2017,10191.98,10262.8,71.56,0.70%,10191.87,10262.8,65728368,8516124,-
6/16/2017,10212.98,10191.24,-30.45,-0.30%,10176.86,10233.8,68457536,8606897,-
6/15/2017,10140.08,10221.69,70.16,0.69%,10134.41,10225.05,78722840,10314309,-
6/14/2017,10208.84,10151.53,-73.29,-0.72%,10138.82,10226.15,73650168,9749158,-
6/13/2017,10104.71,10224.82,104.83,1.04%,10102.5,10237.4,73105216,9477054,-
6/12/2017,10144.12,10119.99,-57.46,-0.56%,10108.98,10197.1,72968168,9857977,-
6/9/2017,10147.02,10177.45,28.73,0.28%,10124.94,10182.61,71269880,9491832,-
6/8/2017,10104.59,10148.72,38.84,0.38%,10097.66,10162.48,77812848,10180237,-
6/7/2017,9915.18,10109.88,193.96,1.96%,9910.53,10117.06,88954872,11541363,-
6/6/2017,9834.54,9915.92,73.32,0.74%,9821.13,9915.92,53891544,7082297,-
6/5/2017,9799.81,9842.6,47.71,0.49%,9799.65,9866.34,58035176,7451257,-
6/2/2017,9708.72,9794.89,64.56,0.66%,9637.54,9811.58,64651288,7898137.5,-
6/1/2017,9833.83,9730.33,-134.52,-1.36%,9730.06,9854.55,70165240,8643389,-
5/31/2017,9944.12,9864.85,5.62,0.06%,9855.3,9976.64,74669768,9162369,-
5/26/2017,9871.68,9859.24,-34.54,-0.35%,9838.7,9913.48,72247688,9281436,-
5/25/2017,9792.09,9893.78,81.32,0.83%,9727.51,9917.81,83013016,10225430,-
5/24/2017,9722.04,9812.46,48.68,0.50%,9609.41,9812.46,65975864,8269237.5,-
5/23/2017,9878.38,9763.78,-135.86,-1.37%,9761.31,9914.5,80497440,10014785,-
5/22/2017,9958.29,9899.65,-71.31,-0.72%,9864.95,10014.94,72262272,9061310,-
5/19/2017,9978.5,9970.96,-3.39,-0.03%,9922.76,10005.71,63965388,8523501,-
5/18/2017,9955.86,9974.35,-55.76,-0.56%,9936.31,10045.68,70491248,9213649,-
5/17/2017,10030.36,10030.11,-16.55,-0.16%,10019.36,10091.47,91078864,11753596,-
5/16/2017,9819.71,10046.66,201.06,2.04%,9761.35,10046.66,90068840,11560079,-
5/15/2017,9812.38,9845.6,57.61,0.59%,9812.38,9866.07,61701820,7971641,-
5/12/2017,9755.87,9787.99,11.54,0.12%,9703.1,9794.99,63994844,7947210,-
5/11/2017,9704.88,9776.45,19.64,0.20%,9566.42,9776.51,82157984,9809800,-
5/10/2017,9875.74,9756.81,-128.53,-1.30%,9756.81,9945.61,74787352,9537536,-
5/9/2017,9794.81,9885.34,52.17,0.53%,9736.14,9887.15,64477676,8273527,-
5/8/2017,10000.95,9833.17,-191.27,-1.91%,9833.17,10018.57,82317776,9786845,-
5/5/2017,10119.54,10024.44,-123,-1.21%,10024.44,10132.92,77517816,9816519,-
5/4/2017,10164.81,10147.44,-36.7,-0.36%,10116.01,10241.54,79752416,10151171,-
5/3/2017,10208.6,10184.14,-39.83,-0.39%,10146.26,10244.35,76050368,9571647,-
5/2/2017,10205.66,10223.97,-10.68,-0.10%,10166.39,10228.7,77331648,9934861,-
4/28/2017,10208.13,10234.65,5.46,0.05%,10176.08,10235.23,80970232,10411581,-
