??,??,??,???,???,??,??,???(?),????(?),???
8/2/2019,9049.35,9136.46,-131.59,-1.42%,9020.26,9150.73,103224176,12623066,-
8/1/2019,9278.83,9268.05,-58.56,-0.63%,9223.31,9327.94,83094416,10591380,-
7/31/2019,9374.44,9326.62,-72.48,-0.77%,9318.59,9374.44,82200792,9928456,-
7/30/2019,9362.23,9399.1,44.82,0.48%,9362.23,9469.08,100311088,11489358,-
7/29/2019,9350.21,9354.28,5.28,0.06%,9310.63,9376.42,85478816,10422169,-
7/26/2019,9310.65,9349,4.18,0.04%,9294.61,9363.27,81726928,9991148,-
7/25/2019,9265.31,9344.82,78.52,0.85%,9247.97,9344.82,99037264,12038870,-
7/24/2019,9203.23,9266.3,90.47,0.99%,9203.23,9312.67,93627072,11525750,-
7/23/2019,9125.46,9175.83,53.19,0.58%,9104.76,9175.83,70819168,9107784,-
7/22/2019,9247.28,9122.64,-105.91,-1.15%,9073.49,9254.65,92911760,10612698,-
7/19/2019,9198.82,9228.55,73.9,0.81%,9198.82,9298.21,87751776,10074404,-
7/18/2019,9258.12,9154.65,-147.35,-1.58%,9153.01,9258.12,96604856,10421785,-
7/17/2019,9274.69,9302,18.59,0.20%,9242.25,9354.81,110090448,11593131,-
7/16/2019,9294.56,9283.41,-26.01,-0.28%,9255.43,9324.91,91237264,10378302,-
7/15/2019,9181.03,9309.42,96.04,1.04%,9066.71,9358.08,106395984,12807615,-
7/12/2019,9161.27,9213.38,60.61,0.66%,9122.41,9236.42,75208032,9109072,-
7/11/2019,9216.95,9152.77,-13.38,-0.15%,9121.46,9282.95,74730656,9551850,-
7/10/2019,9231.86,9166.15,-32.64,-0.35%,9130.53,9239.28,74912616,8998094,-
7/9/2019,9178.91,9198.79,12.5,0.14%,9119.65,9221.72,71809520,9407727,-
7/8/2019,9419.69,9186.29,-256.92,-2.72%,9124.16,9420.24,104133712,12744589,-
7/5/2019,9379.94,9443.22,74.92,0.80%,9345.79,9464.39,74516424,10251800,-
7/4/2019,9435.04,9368.31,-51.53,-0.55%,9323.07,9466.02,90923480,11552949,-
7/3/2019,9519.8,9419.84,-125.68,-1.32%,9376.31,9520.38,104279176,13633717,-
7/2/2019,9516.42,9545.52,15.06,0.16%,9483.16,9560.52,131259032,15549950,-
6/14/2019,8956.92,8810.13,-141.48,-1.58%,8801.33,8994.16,104486408,11214615,-
6/13/2019,8948.58,8951.61,-3.11,-0.03%,8866.22,8974.8,97302368,10750492,-
6/12/2019,9008.57,8954.72,-82.95,-0.92%,8930.91,9038.87,114750280,12528844,-
6/11/2019,8721.27,9037.67,325.88,3.74%,8718.47,9045.12,134595344,15440947,-
6/10/2019,8621.73,8711.79,126.85,1.48%,8582.48,8748.97,86771168,10016236,-
6/6/2019,8741.83,8584.94,-161.11,-1.84%,8557.58,8741.83,92959296,10355880,-
6/5/2019,8831.13,8746.05,-2.22,-0.03%,8729.21,8851.12,87601736,10681879,-
6/4/2019,8854.5,8748.27,-108.72,-1.23%,8697.5,8868.09,95418872,11143285,-
6/3/2019,8953.37,8856.99,-65.7,-0.74%,8826.75,9012.08,107276544,12112473,-
5/31/2019,8939.41,8922.7,-20.65,-0.23%,8892.12,9016.16,95671760,10705450,-
5/30/2019,8974.4,8943.35,-67.01,-0.74%,8845.83,8974.4,105917520,11445762,-
5/29/2019,8971.22,9010.36,-25.33,-0.28%,8956.72,9077.51,96415904,10914302,-
5/28/2019,8979.58,9035.69,55.86,0.62%,8946.7,9082.7,109659312,12679186,-
5/27/2019,8795.14,8979.83,203.06,2.31%,8732.99,9003.87,117191352,12900667,-
5/24/2019,8788.17,8776.77,-32.76,-0.37%,8745.59,8880.81,93047592,10306644,-
5/23/2019,8997.25,8809.54,-231.68,-2.56%,8789.41,8997.25,111318024,12857905,-
5/22/2019,9069,9041.22,-46.3,-0.51%,8986.53,9132.38,111486176,12899051,-
5/21/2019,8920.46,9087.52,171.41,1.92%,8892.14,9120.69,118250616,13212868,-
5/20/2019,8980.8,8916.11,-84.08,-0.93%,8792.84,8994.18,113941992,12833925,-
5/17/2019,9299.46,9000.19,-293.13,-3.15%,8964.37,9303.05,135819856,15147973,-
5/16/2019,9247.99,9293.32,34.29,0.37%,9211.75,9307.22,117327072,13487150,-
5/15/2019,9125.27,9259.03,220.67,2.44%,9123.91,9282.96,110601208,13390654,-
5/14/2019,8998.97,9038.36,-65,-0.71%,8996.92,9142.46,100819168,11857416,-
5/13/2019,9112.52,9103.36,-132.03,-1.43%,9059.32,9191.07,106403624,12547544,-
5/10/2019,8988.92,9235.39,358.08,4.03%,8820.59,9238.55,145090960,16698230,-
5/9/2019,8919.5,8877.31,-125.22,-1.39%,8860.17,9012.24,101678592,11741069,-
5/8/2019,8899.91,9002.53,-86.93,-0.96%,8873.44,9167.81,121128008,13163068,-
5/7/2019,9011.52,9089.46,145.94,1.63%,8928.57,9160.52,130705592,15413948,-
5/6/2019,9289.74,8943.52,-731.02,-7.56%,8893.15,9333.92,167939328,19238410,-
4/30/2019,9573.41,9674.54,52.05,0.54%,9573.39,9730.55,113445560,13939032,-
4/29/2019,9775.95,9622.49,-158.33,-1.62%,9597.09,9822.82,155498736,18155434,-
4/26/2019,9852.94,9780.82,-126.8,-1.28%,9774.75,9927.74,140623008,17101140,-
4/25/2019,10186.23,9907.63,-328.64,-3.21%,9902.02,10209.14,172782496,19844720,-
4/24/2019,10162.38,10236.27,111.61,1.10%,10023.91,10239.37,161337008,18335400,-
4/23/2019,10206.02,10124.66,-99.65,-0.97%,10091.92,10247.39,159027328,19019002,-
4/22/2019,10418.71,10224.31,-193.93,-1.86%,10192.52,10418.71,174505152,21313610,-
4/19/2019,10280.34,10418.24,130.58,1.27%,10208.61,10418.24,156736240,18410500,-
4/18/2019,10338.5,10287.67,-56.76,-0.55%,10267.31,10363.85,157254080,18993456,-
4/17/2019,10288.45,10344.43,56.79,0.55%,10257.56,10410.65,188286336,23265194,-
